Demographic Group (Race + Gender),n,n_pos,auc,accuracy,tpr,fpr,fnr,pos_pred_rate
AfricanAmerican + Female,1205.0,91.0,0.6248742281058259,0.6979253112033195,0.5384615384615384,0.289048473967684,0.46153846153846156,0.3078838174273859
AfricanAmerican + Male,782.0,68.0,0.6034766847915637,0.6956521739130435,0.4852941176470588,0.28431372549019607,0.5147058823529411,0.30179028132992325
Asian + Female,186.0,16.0,0.5996323529411764,0.7311827956989247,0.375,0.23529411764705882,0.625,0.24731182795698925
Asian + Male,205.0,16.0,0.5968915343915344,0.7414634146341463,0.5,0.23809523809523808,0.5,0.25853658536585367
Caucasian + Female,4077.0,406.0,0.6353579446413308,0.6610252636742703,0.5369458128078818,0.3252519749387088,0.4630541871921182,0.34633308805494234
Caucasian + Male,3825.0,323.0,0.6181827986838127,0.6726797385620915,0.47368421052631576,0.3089663049685894,0.5263157894736842,0.32287581699346407
Hispanic + Female,134.0,10.0,0.6959677419354839,0.7014925373134329,0.6,0.2903225806451613,0.4,0.31343283582089554
Hispanic + Male,115.0,4.0,0.6689189189189189,0.7130434782608696,0.5,0.27927927927927926,0.5,0.28695652173913044
Other + Female,97.0,5.0,0.6630434782608695,0.6907216494845361,0.4,0.29347826086956524,0.6,0.29896907216494845
Other + Male,102.0,5.0,0.5463917525773196,0.7254901960784313,0.6,0.26804123711340205,0.4,0.28431372549019607
